trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
2132609,10,249236,Penn Station New York,"7232",0,7232,20,
2132629,10,249236,Long Branch,"7233",1,7233,120,
2132786,10,249234,Penn Station New York,"7236",0,7236,20,
2132610,10,249236,Penn Station New York,"7236",0,7236,20,
2132802,10,250188,Long Branch,"7241",1,7241,120,
2132630,10,249236,Long Branch,"7245",1,7245,120,
2132788,10,249234,Penn Station New York,"7248",0,7248,20,
2132789,10,249234,Penn Station New York,"7252",0,7252,20,
2132805,10,249234,Long Branch,"7253",1,7253,120,
2132795,10,249236,Penn Station New York,"7256",0,7256,20,
2132633,10,249236,Long Branch,"7257",1,7257,120,
2132613,10,249236,Penn Station New York,"7260",0,7260,20,
2132792,10,249236,Penn Station New York,"7264",0,7264,20,
2132808,10,249234,Long Branch,"7265",1,7265,120,
2132810,10,249236,Long Branch,"7269",1,7269,120,
2132636,10,249235,Long Branch,"7273",1,7273,120,
